Band,Band(str),DL Channel Range,UL Channel Range,DL Frequency Base,UL Frequency Base,Channel Spacing,Type
1,B1,0-599,18000-18599,2100,1920,0.1,default
2,B2,600-1199,18600-19199,1930,1850,0.1,
3,B3,1200-1949,19200-19949,1805,1710,0.1,
4,B4,1950-2399,19950-20399,2110,1710,0.1,
,B5,2400-2649,20400-20649,869,824,0.1,
,B6,2650-2749,20650-20749,875,830,,
,B7,2750-3449,20750-21449,2620,2500,,
,B8,3450-3799,21450-21799,925,880,,
,B9,3800-4149,21800-22149,1844.9,1749.9,,
,B10,4150-4749,22150-22749,2110,1710,,
,B11,4750-4949,22750-22949,1475.9,1427.9,,
,B12,5010-5179,23010-23179,729,699,,
,B13,5180-5279,23180-23279,746,777,,
,B14,5280-5379,23280-23379,758,788,,
,B17,5730-5849,23730-23849,734,704,,
,B18,5850-5999,23859-23999,860,815,,
,B19,6000-6149,24000-24149,875,830,,
,B20,6150-6449,24150-24449,791,832,,
,B21,6450-6599,24450-24599,1495.9,1447.9,,
,B22,6600-7399,24600-25399,3510,3410,,
,B23,7500-7688,25500-25699,2180,2000,,
,B24,7700-8039,25700-26039,1525,1626.5,,
,B25,8040-8689,26040-26689,1930,1850,,
,B26,8690-9039,26690-27039,859,814,,
,B27,9040-9209,27040-27209,852,807,,
,B28,9210-9659,27210-27659,758,703,,
,B29,9660-9769,,717,,,DL Only
,B30,9770-9869,27660-27759,2350,2305,,
,B31,9870-9919,27760-27809,462.5,452.5,,
,B33,36000-36199,,1900,,,TDD
,B34,36200-36349,,2010,,,TDD
,B35,36350-36949,,1850,,,TDD
,B36,36950-37549,,1930,,,
,B37,37550-37749,,1910,,,
,B38,37750-38249,,2570,,,
,B39,38250-38649,,1880,,,
,B40,38650-38949,,2300,,,
,B41,39650-41589,,2496,,,
,B42,41590-43589,,3400,,,
,B43,43590=45589,,3600,,,
,B44,45590-46589,,703,,,
