Band,Band(str),DL Channel Range,UL Channel Range,DL Frequency Base,UL Frequency Base,Channel Spacing,Type,Bandwidths
1,B1,0-599,18000-18599,2110,1920,0.1,default,"5,10,15,20"
2,B2,600-1199,18600-19199,1930,1850,0.1,,"1.4,3,5,10,15,20"
3,B3,1200-1949,19200-19949,1805,1710,0.1,,"1.4,3,5,10,15,20"
4,B4,1950-2399,19950-20399,2110,1710,0.1,,"1.4,3,5,10,15,20"
5,B5,2400-2649,20400-20649,869,824,0.1,,"1.4,3,5,10"
6,B6,2650-2749,20650-20749,875,830,0.1,,"5,10"
7,B7,2750-3449,20750-21449,2620,2500,0.1,,"5,10,15,20"
8,B8,3450-3799,21450-21799,925,880,0.1,,"1.4,3,5,10"
9,B9,3800-4149,21800-22149,1844.9,1749.9,0.1,,"5,10,15,20"
10,B10,4150-4749,22150-22749,2110,1710,0.1,,"5,10,15,20"
11,B11,4750-4949,22750-22949,1475.9,1427.9,0.1,,"5,10"
12,B12,5010-5179,23010-23179,729,699,0.1,,"1.4,3,5,10"
13,B13,5180-5279,23180-23279,746,777,0.1,,"5,10"
14,B14,5280-5379,23280-23379,758,788,0.1,,"5,10"
17,B17,5730-5849,23730-23849,734,704,0.1,,"5,10"
18,B18,5850-5999,23859-23999,860,815,0.1,,"5,10,15"
19,B19,6000-6149,24000-24149,875,830,0.1,,"5,10,15"
20,B20,6150-6449,24150-24449,791,832,0.1,,"5,10,15,20"
21,B21,6450-6599,24450-24599,1495.9,1447.9,0.1,,"5,10,15"
22,B22,6600-7399,24600-25399,3510,3410,0.1,,"5,10,15,20"
23,B23,7500-7688,25500-25699,2180,2000,0.1,,"1.4,3,5,10,15,20"
24,B24,7700-8039,25700-26039,1525,1626.5,0.1,,"5,10"
25,B25,8040-8689,26040-26689,1930,1850,0.1,,"1.4,3,5,10,15,20"
26,B26,8690-9039,26690-27039,859,814,0.1,,"1.4,3,5,10,15"
27,B27,9040-9209,27040-27209,852,807,0.1,,"1.4,3,5,10"
28,B28,9210-9659,27210-27659,758,703,0.1,,"3,5,10,15,20"
29,B29,9660-9769,,717,,0.1,DL Only,"3,5,10"
30,B30,9770-9869,27660-27759,2350,2305,0.1,,"5,10"
31,B31,9870-9919,27760-27809,462.5,452.5,0.1,,"1.4,3,5"
32,B32,9920-10359,,1452,,0.1,DL Only,"5,10,15,20"
65,B65,65536-66435,131072-131971,2110,1920,0.1,,"1.4,3,5,10,15,20"
66,B66,66436-67335,131972-132671,2110,1710,0.1,,"1.4,3,5,10,15,20"
67,B67,67336-67535,,738,,0.1,DL Only,"5,10,15,20"
68,B68,67536-67835,132672-132971,753,698,0.1,,"5,10,15"
69,B69,67836-68335,,2570,,0.1,DL Only,"5,10,15,20"
70,B70,68336-68585,132972-133121,1995,1695,0.1,,"5,10,15,20"
71,B71,68586-68935,133122-133471,617,663,0.1,,"5,10,15,20"
72,B72,68936-68985,133472-133521,461,451,0.1,,5
73,B73,68986-69035,133522-133571,460,450,0.1,,5
74,B74,69036-69465,133572-134001,1475,1427,0.1,,"1.4,3,5,10,15,20"
75,B75,69466-70315,,1432,,0.1,DL Only,"5,10,15,20"
76,B76,70316-70365,,1427,,0.1,DL Only,5
85,B85,70366-70545,134002-134181,728,698,0.1,,"5,10"
87,B87,70546-70595,134182-134231,420,410,0.1,,
88,B88,70596-70645,134232-134281,422,412,0.1,,
252,B252,255144-256143,,5150,,0.1,DL Only,20
255,B255,261519-262143,,5725,,0.1,DL Only,20
