Band,Band(str),DL Channel Range,UL Channel Range,DL Frequency Base,UL Frequency Base,Channel Spacing,Type,Bandwidths
33,B33,36000-36199,,1900,,0.1,TDD,"5,10,15,20"
34,B34,36200-36349,,2010,,0.1,TDD,"5,10,15"
35,B35,36350-36949,,1850,,0.1,TDD,"1.4,3,5,10,15,20"
36,B36,36950-37549,,1930,,0.1,TDD,"1.4,3,5,10,15,20"
37,B37,37550-37749,,1910,,0.1,TDD,"5,10,15,20"
38,B38,37750-38249,,2570,,0.1,TDD,"5,10,15,20"
39,B39,38250-38649,,1880,,0.1,TDD,"5,10,15,20"
40,B40,38650-38949,,2300,,0.1,TDD,"5,10,15,20"
41,B41,39650-41589,,2496,,0.1,TDD,"5,10,15,20"
42,B42,41590-43589,,3400,,0.1,TDD,"5,10,15,20"
43,B43,43590-45589,,3600,,0.1,TDD,"5,10,15,20"
44,B44,45590-46589,,703,,0.1,TDD,"3,5,10,15,20"
45,B45,46590-46789,,1447,,0.1,TDD,"5,10,15,20"
46,B46,46790-54539,,5150,,0.1,TDD,"10,20"
47,B47,54540-55239,,5855,,0.1,TDD,"10,20"
48,B48,55240-56739,,3550,,0.1,TDD,"5,10,15,20"
50,B50,58240-59089,,1432,,0.1,TDD,"3,5,10,15,20"
51,B51,59090-59139,,1427,,0.1,TDD,5
