Band,Band(str),DL Channel Range,UL Channel Range,DL Frequency Base,UL Frequency Base,Channel Spacing,Type,Bandwidths
1,n1,422000-434000,384000-396000,2110,1920,0.005,FD,
2,n2,386000-398000,370000-382000,1930,1850,0.005,FD,
3,n3,361000-376000,342000-357000,1805,1710,0.005,FD,
5,n5,173800-178800,164800-169800,869,824,0.005,FD,
7,n7,524000-538000,500000-514000,2620,2500,0.005,FD,
8,n8,185000-192000,176000-183000,925,880,0.005,FD,
12,n12,145800-149200,139800-143200,729,699,0.005,FD,
20,n20,158200-164200,166400-172400,791,832,0.005,FD,
25,n25,386000-399000,370000-383000,1930,1850,0.005,FD,
28,n28,151600-160600,140600-149600,758,703,0.005,FD,
34,n34,402000-405000,,2010,,0.005,TD,
38,n38,514000-524000,,2570,,0.005,TD,
39,n39,376000-384000,,1880,,0.005,TD,
40,n40,460000-480000,,2300,,0.005,TD,
41,n41,499200-537999,,2496,,0.015,TD,
50,n50,286400-303400,,1432,,0.005,TD,
51,n51,285400-286400,,1427,,0.005,TD,
66,n66,422000-440000,342000-356000,2110,1710,0.005,FD,
70,n70,399000-404000,339000-342000,1995,1695,0.005,FD,
71,n71,123400-130400,132600-139600,617,663,0.005,FD,
74,n74,295000-303600,285400-294000,1475,1427,0.005,FD,
75,n75,286400-303400,,1432,,0.005,SD,
76,n76,285400-286400,,1427,,0.005,SD,
77,n77,620000-680000,,3300,,0.015,TD,
78,n78,620000-653333,,3300,,0.015,TD,
79,n79,693334-733333,,4400,,0.015,TD,
80,n80,,342000-357000,,1710,0.005,SU,
81,n81,,176000-183000,,880,0.005,SU,
82,n82,,166400-172400,,832,0.005,SU,
83,n83,,140600-149600,,703,0.005,SU,
84,n84,,384000-396000,,1920,0.005,SU,
86,n86,,342000-356000,,1710,0.005,SU,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
